i,ml,mom,gmm,cue,el
814,0,0,0,0,0
815,0,1,0,0,0
816,0,1,0,1,1
817,0,1,0,0,1
818,0,1,0,0,0
819,0,0,0,1,0
820,0,0,0,1,0
821,0,1,0,1,0
822,0,1,1,0,0
823,0,1,0,0,0
824,0,1,0,1,0
825,0,1,0,1,1
826,0,1,0,0,1
827,0,0,0,0,0
828,0,0,0,1,0
829,0,1,0,0,0
830,0,1,0,0,0
831,0,1,1,1,1
832,0,1,1,0,0
833,0,0,1,1,0
834,0,1,0,1,1
835,0,0,1,1,0
836,0,0,0,0,0
837,0,1,0,0,1
838,0,0,0,1,0
839,0,0,1,0,0
840,0,1,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,0,1,0,1,0
844,0,1,0,0,0
845,0,0,1,1,1
846,0,1,0,0,0
847,0,1,1,1,0
848,0,1,0,0,0
849,0,0,0,1,1
850,0,0,1,1,0
851,0,1,0,1,0
852,0,0,0,0,1
853,0,1,1,0,1
854,0,1,1,1,0
855,0,0,0,0,1
856,0,10,0,1,0
857,0,1,1,1,0
858,0,1,0,1,0
859,0,1,0,10,1
860,0,0,0,0,1
861,0,0,0,1,0
862,0,0,0,0,0
863,0,1,0,1,1
864,0,1,1,1,0
865,0,1,1,1,0
866,0,1,0,1,0
867,0,1,1,1,0
868,0,1,0,0,1
869,0,1,1,1,0
870,0,1,0,0,0
871,0,1,0,0,0
872,0,1,0,1,0
873,0,1,0,1,1
874,0,0,0,1,0
875,0,1,0,1,1
876,0,0,0,1,1
877,0,1,0,0,0
878,0,1,1,1,0
879,0,1,1,0,0
880,0,1,1,1,1
881,0,1,1,0,0
882,0,1,0,1,0
883,0,0,0,0,0
884,0,1,0,0,0
885,0,1,1,1,1
886,0,0,0,0,0
887,0,1,0,0,1
888,0,1,0,0,0
889,0,1,0,1,0
890,0,0,0,1,0
891,0,1,0,0,0
892,0,1,0,0,1
893,0,1,1,10,1
894,0,0,1,0,1
895,0,1,1,1,1
896,0,0,1,0,1
897,0,1,0,0,0
898,0,0,0,0,0
899,0,0,1,0,0
900,0,1,0,0,1
901,0,1,0,1,1
902,0,1,0,0,0
903,0,0,0,0,0
904,0,1,0,1,1
905,0,1,1,1,0
906,0,0,1,0,1
907,0,1,0,0,0
908,0,1,0,0,0
909,0,1,1,0,1
910,0,0,0,1,0
911,0,1,0,1,0
912,0,0,0,0,0
913,0,1,1,0,0
914,0,1,0,0,0
915,0,10,0,1,1
916,0,0,0,1,1
917,0,1,1,0,1
918,0,10,1,0,0
919,0,1,1,0,0
920,0,0,0,1,0
921,0,1,0,1,1
922,0,1,1,1,0
923,0,1,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,0,1,1,1,0
927,0,1,0,1,0
928,0,0,0,0,1
929,0,1,0,0,0
930,0,0,1,1,0
931,0,1,0,0,0
932,0,1,0,0,0
933,0,1,1,1,1
934,0,0,0,0,0
935,0,0,0,1,0
936,0,0,0,1,1
937,0,1,1,1,0
938,0,0,1,0,1
939,0,1,1,1,0
940,0,0,0,1,1
941,0,0,1,0,0
942,0,0,0,1,0
943,0,1,0,1,0
944,0,0,0,0,0
945,0,1,1,1,0
946,0,1,0,0,0
947,0,1,0,1,1
948,0,1,1,0,1
949,0,1,0,1,1
950,0,1,0,0,0
951,0,1,1,1,0
952,0,1,0,0,0
953,0,0,1,1,0
954,0,0,0,0,0
955,0,1,0,0,0
956,0,1,1,0,1
957,0,0,0,1,1
958,0,1,0,0,0
959,0,0,0,0,0
960,0,0,0,0,1
961,0,0,1,0,0
962,0,1,0,1,0
963,0,0,1,0,0
964,0,1,1,0,0
965,0,1,0,1,1
966,0,0,0,0,0
967,0,1,1,0,0
968,0,1,0,1,0
969,0,1,1,1,1
970,0,1,0,1,0
971,0,1,0,1,0
972,0,1,1,1,0
973,0,0,0,0,1
974,0,1,0,1,1
975,0,0,0,1,1
976,0,1,0,0,1
977,0,1,0,1,0
978,0,1,0,0,0
979,0,1,0,1,0
980,0,0,0,0,0
981,0,0,0,0,0
